SVD_K,compression_ratio
10 , 20.5913875598
30 , 6.86379585327
50 , 4.11827751196
70 , 2.94162679426
90 , 2.28793195109
110 , 1.87194432362
130 , 1.58395288922
150 , 1.37275917065
170 , 1.21125809175
190 , 1.08375723999
210 , 0.980542264753
230 , 0.895277719992
250 , 0.823655502392
270 , 0.762643983697
290 , 0.71004784689
310 , 0.664238308381
330 , 0.623981441206
350 , 0.588325358852
370 , 0.556523988103
