SVD_K,compression_ratio
10 , 21.3714285714
30 , 7.12380952381
50 , 4.27428571429
70 , 3.05306122449
90 , 2.3746031746
110 , 1.94285714286
130 , 1.64395604396
150 , 1.42476190476
170 , 1.25714285714
190 , 1.12481203008
210 , 1.01768707483
230 , 0.929192546584
250 , 0.854857142857
270 , 0.791534391534
290 , 0.736945812808
310 , 0.689400921659
330 , 0.647619047619
350 , 0.610612244898
